VTAL-VTAR,NAccL-NAccR,insulaL-insulaR,MHL-MHR,LHL-LHR,mPFCL-mPFCR,OFCL-OFCR,CPuL-CPuR,NTSL-NTSR,S2L-S2R
"0,3454636037","0,5837338567","0,3454636037","0,4177986979","0,460675329","0,7487406135","0,9037736058","0,5837338567","0,713406682","0,5656604767"
"-0,1713987142","2,467469215","-0,1713987142","0,793936789","0,8780435324","1,199935198","1,674926281","2,467469215","0,5541199446","2,281540632"
"0,4971462786","1,996048331","0,4971462786","0,5693649054","0,5200580359","1,101505399","1,120366335","1,996048331","0,5191835761","1,537070632"
