VTAL-NAccL,VTAL-insulaL,VTAL-MHL,VTAL-LHL,VTAL-mPFCL,VTAL-OFCL,VTAL-CPuL,VTAL-NTSL,,VTAR-NAccR,VTAR-insulaR,VTAR-MHR,VTAR-LHR,VTAR-mPFCR,VTAR-OFCR,VTAR-CPuR,VTAR-NTSR
"-0,1815795898","0,1916747987","-0,3517390192","-0,4097216129","0,1384954154","0,01640365273","0,1595886499","-0,02983046882",,"-0,07524146885","0,2218545973","-0,2939107418","-0,6123340726","0,134309411","-0,07951571047","-0,1120566577","0,2867514789"
"0,1338441521","0,2780597508","0,1265464425","-0,3586915135","0,232282117","0,07469019294","0,2110362649","-0,6666810513",,"-0,05211693048","-0,02104276419","0,387619108","-0,09362404048","0,01232574694","-0,2275787294","0,05964300036","-0,1471651644"
"0,2743552625","0,3911455572","0,1393321306","0,4672421515","0,217557162","0,3774245679","0,6095225811","-0,218703866",,"0,3188849092","0,3174351752","0,007149755489","0,3824099898","0,3551706076","0,2783280015","0,5490647554","-0,6617774367"
